topology,eps,lambda1_baseline,H_baseline,Dprime_baseline,S_coup_coupled
river,1.000,0.067794,2.334930,2.821082,2.127291
river,0.600,0.058739,2.344831,2.806838,2.079662
river,0.300,0.043288,2.351875,2.782906,1.949756
river,0.100,0.020392,2.354923,2.748288,1.743570
river,0.030,0.007042,2.355409,2.728557,1.600312
trunk_roots,1.000,0.050435,2.427687,2.793918,2.066938
trunk_roots,0.600,0.044694,2.442915,2.785065,1.949628
trunk_roots,0.300,0.034519,2.453536,2.769530,2.053566
trunk_roots,0.100,0.017698,2.457098,2.744279,2.028479
trunk_roots,0.030,0.006456,2.457155,2.727699,1.997465
